Frame,substate_bindingE,Time_nanosecond,bb_rmsd,all_rmsd
0,-16.25134392000166,0.002,1.1462,1.5547
1,-23.84036944000174,0.004,1.2178,1.7198
2,-22.30449143999596,0.006,1.225,1.7667
3,-22.667391759998047,0.008,1.2007,1.7654
4,-21.86558952000062,0.01,1.1612,1.8183
5,-22.90326775999892,0.012,1.231,1.8597
6,-23.73927911999911,0.014,1.2063,1.8152
7,-21.642261919997967,0.016,1.2227,1.8743
8,-21.15458816000131,0.018000000000000002,1.2618,1.9382
9,-25.425464319999747,0.02,1.3084,1.9797
10,-25.55221743999705,0.022,1.3327,2.0058
11,-25.9444310400022,0.024,1.4526,2.1113
12,-25.30026136000094,0.026000000000000002,1.5107,2.1556
13,-23.2894288000019,0.028,1.4879,2.1389
14,-20.09563679999739,0.03,1.3205,2.0486
15,-23.16213423999745,0.032,1.227,1.9948
16,-23.030953520004324,0.034,1.2819,1.9842
17,-16.561234959998277,0.036000000000000004,1.32,2.0692
18,-20.740904560000025,0.038,1.3983,2.0948
19,-24.710304479999323,0.04,1.3706,2.1225
20,-20.67101791999697,0.042,1.4831,2.2109
21,-16.771587120007254,0.044,1.4764,2.227
22,-22.355741519995984,0.046,1.648,2.4156
23,-12.525666880004296,0.048,1.6215,2.3619
24,-24.378085360000256,0.05,1.5261,2.3212
25,-20.275226719994755,0.052000000000000005,1.4986,2.2706
26,-19.970318319999265,0.054,1.5452,2.304
27,-19.06683975999932,0.056,1.531,2.2931
28,-21.610620559998623,0.058,1.4649,2.2569
29,-18.27929247999677,0.06,1.4328,2.2423
30,-21.61394144000053,0.062,1.3271,2.1262
31,-22.07474799999514,0.064,1.3402,2.181
32,-20.901619599997154,0.066,1.3233,2.1655
33,-22.496618640004197,0.068,1.3012,2.1632
34,-21.95196183999848,0.07,1.2239,2.1204
35,-23.066809360001077,0.07200000000000001,1.3479,2.1886
36,-22.09136895999687,0.074,1.3305,2.2038
37,-22.186438400000508,0.076,1.4,2.2259
38,-19.067729199995085,0.078,1.4366,2.2423
39,-23.8980868799988,0.08,1.3631,2.1584
40,-21.791119840005585,0.082,1.3819,2.2144
41,-20.7171403999987,0.084,1.3641,2.228
42,-23.27509320000245,0.08600000000000001,1.4028,2.2337
43,-22.289411200005254,0.088,1.3958,2.2571
44,-19.19846879999934,0.09,1.4229,2.2745
45,-17.150290159996633,0.092,1.4921,2.337
46,-19.396051360002275,0.094,1.4908,2.32
47,-17.34279535999766,0.096,1.5311,2.323
48,-18.83942255999817,0.098,1.4446,2.2459
49,-19.65594576000211,0.1,1.5648,2.3166
